# schemix benchmark results — v0.3.0 with blob type-check fast path
#
# Commit:  90c1c42+ (branch feat/api-surface-p0, uncommitted perf changes)
# Date:    2026-08-30
# Command: go test -run='^$' -bench=. -benchmem -count=6 .
#
# Same flags the CI benchmark gate uses, so this file can be fed straight to
# benchstat against a CI run:
#
#     benchstat bench_v0.3.0.txt bench_head.txt
#
# Six samples per benchmark. Read allocations rather than timings when judging a
# change: on a laptop the ns/op figures move by double digits between runs, while
# the allocation counts are deterministic.
#
# Key changes from the previous snapshot:
#   - checkBlobResultType uses a Go type switch for scalar @blob results
#     instead of CUE Encode+Unify+Validate (Process_Valid: 81 → 17 allocs)
#   - path.go helpers use strings.IndexByte instead of strings.Split
#
# Numbers are not comparable to the pre-optimisation snapshot that carried the
# same filename. The allocation counts dropped by 64 on the hot path.

goos: darwin
goarch: arm64
pkg: github.com/mredencom/schemix
cpu: Apple M4
BenchmarkProcess_Parallel-10                	 4337785	       281.6 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Parallel-10                	 4410168	       273.8 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Parallel-10                	 4297821	       275.7 ns/op	     696 B/op	      17 allocs/op
BenchmarkProcess_Parallel-10                	 4275399	       276.9 ns/op	     696 B/op	      17 allocs/op
BenchmarkRegistry_Get_Parallel-10           	14248122	        82.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistry_Get_Parallel-10           	13747160	        87.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistry_Get_Parallel-10           	13531742	        88.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistry_Get_Parallel-10           	13666504	        87.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistry_Get_Parallel-10           	14184033	        85.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegistry_Get_Parallel-10           	13304788	        90.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkCUE_Encode-10                      	  659631	      1733 ns/op	    3266 B/op	      39 allocs/op
BenchmarkCUE_Encode-10                      	  690014	      1724 ns/op	    3266 B/op	      39 allocs/op
BenchmarkCUE_Encode-10                      	  696708	      1724 ns/op	    3266 B/op	      39 allocs/op
BenchmarkCUE_Encode-10                      	  684081	      1727 ns/op	    3266 B/op	      39 allocs/op
BenchmarkCUE_Encode-10                      	  700449	      1726 ns/op	    3266 B/op	      39 allocs/op
BenchmarkCUE_Encode-10                      	  696025	      1722 ns/op	    3266 B/op	      39 allocs/op
BenchmarkCUE_ValidateFields-10              	 7958044	       149.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkCUE_ValidateFields-10              	 8078509	       147.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCUE_ValidateFields-10              	 8185042	       145.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkCUE_ValidateFields-10              	 8139225	       147.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCUE_ValidateFields-10              	 8115666	       147.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkCUE_ValidateFields-10              	 8099146	       146.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkCUE_ValidateRecursive_Legacy-10    	   47142	     25371 ns/op	   50581 B/op	     476 allocs/op
BenchmarkCUE_ValidateRecursive_Legacy-10    	   47241	     25465 ns/op	   50579 B/op	     476 allocs/op
BenchmarkCUE_ValidateRecursive_Legacy-10    	   47079	     25424 ns/op	   50576 B/op	     476 allocs/op
BenchmarkCUE_ValidateRecursive_Legacy-10    	   46852	     25483 ns/op	   50579 B/op	     476 allocs/op
